id,latitude,longitude,scientific,university
8476123,25.01630186,121.5400448,Gallinula chloropus,NTU
8476124,25.0160588,121.539603,Nycticorax nycticorax,NTU
8624591,25.02083485,121.5385458,Psilopogon nuchalis,NTU
8640044,25.01623055,121.5350717,Microsorum scolopendria,NTU
8703198,25.02094623,121.5384498,Saccharomyces cerevisiae,NTU
8706846,25.0193728,121.5364263,Cyperus brevifolius,NTU
8736399,25.01524641,121.5375253,Oxalis debilis,NTU
8738631,25.01625691,121.54023,Amaurornis phoenicurus,NTU
8739119,25.0169806,121.5399416,Ixeris chinensis,NTU
8739120,25.01700308,121.5399671,Acalypha herzogiana,NTU
8739121,25.01700308,121.5397605,Alternanthera philoxeroides,NTU
8739122,25.02086277,121.5357801,Eleusine indica,NTU
8739123,25.01993917,121.5355736,Pipistrellus abramus,NTU
8746587,25.01571011,121.5387001,Lygodium japonicum,NTU
8746601,25.01563795,121.5388255,Solanum diphyllum,NTU
8749823,25.01532598,121.5383121,Antigonon leptopus,NTU
8749824,25.01553622,121.5384898,Potentilla indica,NTU
8749825,25.01557147,121.5385629,Oxalis debilis,NTU
8749826,25.01554291,121.5385441,Dichondra micrantha,NTU
8749827,25.01554959,121.538292,Cyperus brevifolius,NTU
8749828,25.01607338,121.5389666,Mazus pumilus,NTU
8749829,25.01611713,121.5389022,Oplismenus compositus,NTU
8749830,25.01618033,121.5389425,Drymaria cordata,NTU
8749831,25.01614752,121.5390109,Christella parasitica,NTU
8749832,25.01615602,121.5390766,Phyllanthus tenellus,NTU
8749833,25.01622773,121.5390229,Melothria pendula,NTU
8749834,25.01615116,121.5391624,Plantago asiatica,NTU
8749835,25.01622894,121.539098,Hydrocotyle,NTU
8749836,25.01621193,121.5391785,Rumex japonicus,NTU
8749837,25.0163055,121.540022,Neurothemis taiwanensis,NTU
8749838,25.01596036,121.5392871,Magnoliopsida,NTU
8749840,25.01584369,121.5389264,Hydrocotyle,NTU
8749842,25.01576956,121.5389639,Morus indica,NTU
8749843,25.01581453,121.5391034,Causonis japonica,NTU
8749844,25.01578354,121.5391195,Lepidagathis inaequalis,NTU
8749845,25.01617668,121.5406215,Calyptocarpus vialis,NTU
8749846,25.0160746,121.540423,Cenchrus alopecuroides,NTU
8749848,25.01526886,121.5387936,Crassocephalum crepidioides,NTU
8749849,25.01524212,121.538866,Pilea microphylla,NTU
8749850,25.01521174,121.5387171,Angiospermae,NTU
8749851,25.01562008,121.5408307,Danaus chrysippus,NTU
8771844,25.01924033,121.5361442,Axonopus compressus,NTU
8813302,25.01641974,121.5398759,Streptopelia orientalis,NTU
8879021,25.01716118,121.5404404,Morus indica,NTU
8890881,25.01479038,121.5380836,Pteris vittata,NTU
8895186,25.01571852,121.5375946,Gorsachius melanolophus,NTU
8895187,25.01609769,121.5399832,Ardea cinerea,NTU
8937983,25.01603395,121.5383799,Centella asiatica,NTU
8963073,25.01604057,121.5406537,Euploea eunice,NTU
8963271,25.02018709,121.5380466,Stauridium tetras,NTU
8963272,25.02025636,121.5378709,Sphaeropleales,NTU
8963274,25.02038517,121.5378468,Chlorophyta,NTU
8963275,25.02028552,121.537938,Trachelomonas planctonica,NTU
8963276,25.02008987,121.5380372,Desmodesmus communis,NTU
8963525,25.01572581,121.5384597,Bradybaena similaris,NTU
8963529,25.01995619,121.5379869,Lepocinclis oxyuris,NTU
8973425,25.01680298,121.5385866,Theretra,NTU
8996447,25.02058569,121.5377167,Hydrodictyaceae,NTU
9130822,25.02103425,121.5385822,Azolla filiculoides,NTU
9130830,25.02115795,121.5385783,Azolla pinnata,NTU
9130856,25.02113825,121.5385904,Lemna aequinoctialis,NTU
9169157,25.01834961,121.5370381,Passer montanus,NTU
9169158,25.02002181,121.5370274,Callosciurus erythraeus thaiwanensis,NTU
9169159,25.01586071,121.5406322,Dicrurus macrocercus harterti,NTU
9199335,25.01715347,121.5382967,Thunbergia alata,NTU
9199352,25.01713069,121.5383121,Ipomoea aquatica,NTU
9199362,25.01600654,121.5396485,Nycticorax nycticorax,NTU
9217374,25.02025453,121.5376681,Neocopepoda,NTU
9217425,25.02022992,121.5376134,Euglena,NTU
9217442,25.01848481,121.5368255,Potentilla indica,NTU
9217862,25.01591661,121.5385327,Phyllanthus tenellus,NTU
9217871,25.01564621,121.5390497,Erigeron bellioides,NTU
9217872,25.01595641,121.5392603,Ludwigia octovalvis,NTU
9217874,25.01577047,121.5394092,Centella asiatica,NTU
9217876,25.01567689,121.538913,Dichondra micrantha,NTU
9217877,25.01586952,121.5384513,Bonnaya ruelloides,NTU
9217881,25.01755695,121.5380466,Commelina diffusa,NTU
9217882,25.01586557,121.5393726,Triadica sebifera,NTU
9217889,25.01570788,121.5388952,Typhonium blumei,NTU
9217891,25.01587863,121.5382022,Mazus pumilus,NTU
9217892,25.0174579,121.5395087,Mazus fauriei,NTU
9217914,25.01614114,121.5386286,Fejervarya limnocharis,NTU
9217916,25.01538583,121.5381096,Oplismenus compositus,NTU
9217918,25.01748464,121.5394698,Torenia crustacea,NTU
9217919,25.01764961,121.5396556,Dicliptera chinensis,NTU
9217921,25.01587073,121.5373727,Cyperoideae,NTU
9217922,25.01547576,121.5382622,Murdannia loriformis,NTU
9217925,25.01966605,121.5375376,Eclipta prostrata,NTU
9217928,25.01950593,121.5374763,Rotala rotundifolia,NTU
9217931,25.01455547,121.5352021,Oxalis debilis,NTU
9217934,25.01981826,121.5342479,Rumex,NTU
9217937,25.01990454,121.5373737,Rorippa indica,NTU
9217961,25.01634105,121.5379695,Persicaria chinensis,NTU
9255912,25.01858294,121.5376925,Hypsipetes leucocephalus nigerrimus,NTU
9255913,25.02022597,121.5373921,Egretta garzetta,NTU
9255918,25.01928293,121.5379286,Copsychus saularis,NTU
9255920,25.0196864,121.5379983,Gallinula chloropus,NTU
9352918,25.02089922,121.5377093,Pithya cupressina,NTU
9361361,25.01601323,121.5391433,Brugmansia,NTU
9361397,25.01696875,121.5382287,Polygonaceae,NTU
9361409,25.01673116,121.5380945,Bubulcus coromandus,NTU
9361415,25.01621679,121.5399198,Nycticorax nycticorax,NTU
9361450,25.01721545,121.5360594,Parmelia,NTU
9361480,25.01669075,121.5352564,Selaginella delicatula,NTU
9944614,25.01582778,121.5389111,Diploderma swinhonis,NTU
9963482,25.01576768,121.5378235,Aeolosoma,NTU
9963514,25.01584673,121.5385163,Gorsachius melanolophus,NTU
9963537,25.0155303,121.5389095,Daphnia,NTU
9963565,25.0155281,121.5388908,Pieris rapae,NTU
9963575,25.0155294,121.5388885,Diploderma swinhonis,NTU
10428371,25.01548153,121.5387547,Treron sieboldii,NTU
